12,ABB38323214,2G,4G,2G+4G,ZTE,Central B,Macro,,,Active,,28.737605,70.956105,No,Rahim Yar Khan,Liaqatpur_Rural,C7-KNP-06,Central 7,Central B,7639,LIAQUATPUR TEHSIL,RAHIM YAR KHAN,PUNJAB,ABB,Abbasia,Rural,Tower co B2S,Guest,Enfrashare,ES2-LQP-01977,RYK317Z,RYK317Z_MGW_2,2T2R,,,3,3,3,0,,3,0,0,16,14,2,Locked,,,,,,,,,
4,AAL22521,2G,4G,4G,Huawei,North,Macro,Yes,asdas,Active,asdas,34.831100,73.055900,No,Batagram,Battagram_Rural,N3-GLT-04,North 3,North,7271,ALLAI TEHSIL,BATAGRAM,KHYBER PAKHTUNKHWA,AAL,Alai,Alai,Own Built,asdas,dasda,asdasd,ISB006H,ISB006H__I10_ISB_6,No 4G,asdas,asdas,3,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,7,7,0,,t,,,,,,,,
3,ABB38323214,2G,4G,2G+4G,ZTE,Central B,Macro,Yes,,Active,,28.737605,70.956105,No,Rahim Yar Khan,Liaqatpur_Rural,C7-KNP-06,Central 7,Central B,7639,LIAQUATPUR TEHSIL,RAHIM YAR KHAN,PUNJAB,ABB,Abbasia,Rural,Tower co B2S,Guest,Enfrashare,ES2-LQP-01977,RYK317Z,RYK317Z_MGW_2,2T2R,,,3,3,3,0,,3,0,0,16,14,2,Locked,t,Dismantled,,,ndsadas,,,,
13,ABB38323214,2G,4G,2G+4G,ZTE,Central B,Macro,,,Active,,28.737605,70.956105,No,Rahim Yar Khan,Liaqatpur_Rural,C7-KNP-06,Central 7,Central B,7639,LIAQUATPUR TEHSIL,RAHIM YAR KHAN,PUNJAB,ABB,Abbasia,Rural,Tower co B2S,Guest,Enfrashare,ES2-LQP-01977,RYK317Z,RYK317Z_MGW_2,2T2R,,,3,3,3,0,,3,0,0,16,14,2,Locked,t,Dismantled,,,ndsadas,,,,
2,ABB3814,22G,4G,2G+4G,ZTE,Central B,Macro,Yes,,Active,,28.737605,70.956105,No,Rahim Yar Khan,Liaqatpur_Rural,C7-KNP-06,Central 7,Central B,7639,LIAQUATPUR TEHSIL,RAHIM YAR KHAN,PUNJAB,ABB,Abbasia,Rural,Tower co B2S,Guest,Enfrashare,ES2-LQP-01977,RYK317Z,RYK317Z_MGW_2,2T2R,,,3,3,3,0,,3,0,0,16,14,2,Locked,t,Dismantled,,,ndsadas,,,,
1,ABB38323214,2G,4G,2G+4G,ZTE,Central B,Macro,Yes,asdas,Active,,28.737605,70.956105,No,Rahim Yar Khan,Liaqatpur_Rural,C7-KNP-06,Central 7,Central B,7639,LIAQUATPUR TEHSIL,RAHIM YAR KHAN,PUNJAB,ABB,Abbasia,Rural,Tower co B2S,Guest,Enfrashare,ES2-LQP-01977,RYK317Z,RYK317Z_MGW_2,2T2R,,,3,3,3,0,,3,0,0,16,14,2,Locked,t,Relocate,,,,,,,
17,5800K,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,In Progress
18,090078,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,dsk,lkm,lkmk,On Air
19,88899906,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,Planned
21,Star8881212,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,In Progress
10,S1233h,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,Planned
15,S7845,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,In Progress
20,8881212,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,In Progress
11,AAL22521,2G,4G,4G,Huawei,North,Macro,Yes,asdas,Active,asdas,34.831100,73.055900,No,Batagram,Battagram_Rural,N3-GLT-04,North 3,North,7271,ALLAI TEHSIL,BATAGRAM,KHYBER PAKHTUNKHWA,AAL,Alai,Alai,Own Built,asdas,dasda,asdasd,ISB006H,ISB006H__I10_ISB_6,No 4G,asdas,asdas,3,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,7,7,1,,f,,,,,,,,On Air
9,BBB38323214,2G,4G,2G+4G,ZTE,Central B,Macro,Yes,sadas,Active,sa,28.737605,70.956105,No,Rahim Yar Khan,Liaqatpur_Rural,C7-KNP-06,Central 7,Central B,7639,LIAQUATPUR TEHSIL,RAHIM YAR KHAN,PUNJAB,ABB,Abbasia,Rural,Tower co B2S,Guest,Enfrashare,ES2-LQP-01977,RYK317Z,RYK317Z_MGW_2,2T2R,das,sad,3,3,3,0,,3,0,0,16,14,2,,f,,,,,,,,
14,BBB38323214,2G,4G,2G+4G,ZTE,Central B,Macro,Yes,sadas,Active,sa,28.737605,70.956105,No,Rahim Yar Khan,Liaqatpur_Rural,C7-KNP-06,Central 7,Central B,7639,LIAQUATPUR TEHSIL,RAHIM YAR KHAN,PUNJAB,ABB,Abbasia,Rural,Tower co B2S,Guest,Enfrashare,ES2-LQP-01977,RYK317Z,RYK317Z_MGW_2,2T2R,das,sad,3,3,3,0,,3,0,0,16,14,2,,f,,,,,,,,Planned
5,AAL22521,2G,4G,4G,Huawei,North,Macro,Yes,asdas,Inactive,asdas,34.831100,73.055900,No,Batagram,Battagram_Rural,N3-GLT-04,North 3,North,7271,ALLAI TEHSIL,BATAGRAM,KHYBER PAKHTUNKHWA,AAL,Alai,Alai,Own Built,asdas,dasda,asdasd,ISB006H,ISB006H__I10_ISB_6,No 4G,asdas,asdas,3,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,7,7,1,Locked,f,,,,,,,,In Progress
16,123425,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,On Air
7,AAL22521,2G,4G,4G,Huawei,North,Macro,Yes,asdas,Active,asdas,34.831100,73.055900,No,Batagram,Battagram_Rural,N3-GLT-04,North 3,North,7271,ALLAI TEHSIL,BATAGRAM,KHYBER PAKHTUNKHWA,AAL,Alai,Alai,Own Built,asdas,dasda,asdasd,ISB006H,ISB006H__I10_ISB_6,No 4G,asdas,asdas,3,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,7,7,1,Temporary Locked,f,,,,,,,,
6,AAL22521,2G,4G,4G,Huawei,North,Macro,Yes,asdas,Active,asdas,34.831100,73.055900,No,Batagram,Battagram_Rural,N3-GLT-04,North 3,North,7271,ALLAI TEHSIL,BATAGRAM,KHYBER PAKHTUNKHWA,AAL,Alai,Alai,Own Built,asdas,dasda,asdasd,ISB006H,ISB006H__I10_ISB_6,No 4G,asdas,asdas,3,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,7,7,1,,f,,,,,,,,
8,AAL22521,2G,4G,4G,Huawei,North,Macro,Yes,asdas,Active,asdas,34.831100,73.055900,No,Batagram,Battagram_Rural,N3-GLT-04,North 3,North,7271,ALLAI TEHSIL,BATAGRAM,KHYBER PAKHTUNKHWA,AAL,Alai,Alai,Own Built,asdas,dasda,asdasd,ISB006H,ISB006H__I10_ISB_6,No 4G,asdas,asdas,3,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,No 4G,7,7,1,,f,,,,,,,,
22,abcg564546,2G,2G,"","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,
27,"","","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,
28,"","","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,6876,,f,,,,,,,,
29,"","","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,67777,,f,,,,,,,,
30,"","","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,77477,,f,,,,,,,,
31,"","","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,1233,,f,,,,,,,,
32,"","","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,
33,"","","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,
34,"","","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,78789987,,f,,,,,,,,
35,abcg564546,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,888888,,f,,,,,,,,
36,5,3G,4G,2G+4G,Ericsson,Central A,Macro,"",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,
37,7,4G,4G,2G+4G,ZTE,Central A,Rural,Yes,,Inactive,,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,4,,f,,,,,,,,
38,3244,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,
39,77882,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,
40,111222,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,8888,,f,,,,,,,,
41,667799,"","","","","","","",,"",,,,"","","","","","",,"","","","","","","","","","","","","",,,,,,,,,,,,,,,f,,,,,,,,
